id,teams,status,ago,event,tournament,img
65,"[{'name': 'need more DM', 'score': '0', 'country': 'hu', 'won': True}, {'name': 'Resurrection Sickness', 'score': '0', 'country': 'se', 'won': True}]",Completed,3y,Week 3–Grand Final,VALORANT Academy EU - Open Series,https://owcdn.net/img/5ed92260adc81.png
63,"[{'name': 'nolpenki', 'score': '0', 'country': 'eu', 'won': True}, {'name': 'Resurrection Sickness', 'score': '0', 'country': 'se', 'won': True}]",Completed,3y,Week 3–Semifinals,VALORANT Academy EU - Open Series,https://owcdn.net/img/5ed92260adc81.png
64,"[{'name': 'Infected', 'score': '0', 'country': 'se', 'won': True}, {'name': 'need more DM', 'score': '0', 'country': 'hu', 'won': True}]",Completed,3y,Week 3–Semifinals,VALORANT Academy EU - Open Series,https://owcdn.net/img/5ed92260adc81.png
58,"[{'name': 'Prodigy', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'TooGoodForLan', 'score': '0', 'country': 'fi', 'won': False}]",Completed,3y,Tournament–Grand Final,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
57,"[{'name': 'Royals', 'score': '11', 'country': 'gb', 'won': False}, {'name': 'TooGoodForLan', 'score': '13', 'country': 'fi', 'won': True}]",Completed,3y,Tournament–Semifinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
56,"[{'name': 'fish123', 'score': '5', 'country': 'gb', 'won': False}, {'name': 'Prodigy', 'score': '13', 'country': 'eu', 'won': True}]",Completed,3y,Tournament–Semifinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
52,"[{'name': 'fish123', 'score': '13', 'country': 'gb', 'won': True}, {'name': 'HypHypHyp', 'score': '3', 'country': 'fr', 'won': False}]",Completed,3y,Tournament–Quarterfinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
53,"[{'name': 'StartedFromCS', 'score': '10', 'country': 'eu', 'won': False}, {'name': 'Prodigy', 'score': '13', 'country': 'eu', 'won': True}]",Completed,3y,Tournament–Quarterfinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
54,"[{'name': 'LEMONn', 'score': '9', 'country': 'fr', 'won': False}, {'name': 'Royals', 'score': '13', 'country': 'gb', 'won': True}]",Completed,3y,Tournament–Quarterfinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
55,"[{'name': 'TooGoodForLan', 'score': '13', 'country': 'fi', 'won': True}, {'name': 'BlackBelts', 'score': '10', 'country': 'fr', 'won': False}]",Completed,3y,Tournament–Quarterfinals,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
44,"[{'name': 'fish123', 'score': '13', 'country': 'gb', 'won': True}, {'name': '9XL', 'score': '0', 'country': 'eu', 'won': False}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
45,"[{'name': 'reserv', 'score': '11', 'country': 'eu', 'won': False}, {'name': 'HypHypHyp', 'score': '13', 'country': 'fr', 'won': True}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
46,"[{'name': 'IDDQD v2', 'score': '7', 'country': 'eu', 'won': False}, {'name': 'StartedFromCS', 'score': '13', 'country': 'eu', 'won': True}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
47,"[{'name': 'Prodigy', 'score': '13', 'country': 'eu', 'won': True}, {'name': 'Valorando', 'score': '12', 'country': 'de', 'won': False}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
48,"[{'name': 'LEMONn', 'score': '13', 'country': 'fr', 'won': True}, {'name': 'OldTownRoad', 'score': '7', 'country': 'fr', 'won': False}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
49,"[{'name': 'TBD', 'score': '', 'country': 'un', 'won': False}, {'name': 'Royals', 'score': '13', 'country': 'gb', 'won': True}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
50,"[{'name': 'TooGoodForLan', 'score': '13', 'country': 'fi', 'won': True}, {'name': 'Ferrari Peek', 'score': '10', 'country': 'cz', 'won': False}]",Completed,3y,Tournament–Round of 16,Fnatic Proving Grounds,https://www.vlr.gg/img/vlr/tmp/vlr.png
